Observations,Dimensions,Depth,elu,leaky,prelu,relu,selu,Best Activation
100,1,1,0.007012128829956,0.008350133895874,0.0117397308349609,0.0071969032287597,0.0063064098358154,selu
100,1,3,0.0230035781860351,0.0114212036132812,0.0180916786193847,0.0195779800415039,0.0203642845153808,leaky
100,1,10,0.0788893699645996,0.038356065750122,0.0513467788696289,0.029844045639038,0.0372929573059082,relu
100,1,30,0.0759592056274414,0.0855302810668945,0.1079151630401611,0.0870368480682373,0.0917937755584716,elu
100,2,1,0.0064308643341064,0.0060381889343261,0.007112979888916,0.0091645717620849,0.0070819854736328,leaky
100,2,3,0.0136923789978027,0.0130090713500976,0.0146384239196777,0.010000467300415,0.0122046470642089,relu
100,2,10,0.0464241504669189,0.0374946594238281,0.0483701229095459,0.0331490039825439,0.0285990238189697,selu
100,2,30,0.0831267833709716,0.1187624931335449,0.1302146911621093,0.0864152908325195,0.1309196949005127,elu
100,5,1,0.0072853565216064,0.007009744644165,0.0075049400329589,0.0071110725402832,0.0076103210449218,leaky
100,5,3,0.0122597217559814,0.0122983455657958,0.0144827365875244,0.0118780136108398,0.03230881690979,relu
100,5,10,0.0653028488159179,0.0287327766418457,0.0863542556762695,0.0394902229309082,0.0758864879608154,leaky
100,5,30,0.0881493091583252,0.0743618011474609,0.1490755081176757,0.1257486343383789,0.0938942432403564,leaky
500,1,1,0.0067546367645263,0.0111982822418212,0.0098407268524169,0.0076367855072021,0.0080463886260986,elu
500,1,3,0.0115375518798828,0.0133874416351318,0.0173940658569335,0.0205860137939453,0.0142943859100341,elu
500,1,10,0.0373315811157226,0.0654525756835937,0.0405690670013427,0.0323545932769775,0.0455152988433837,relu
500,1,30,0.0867202281951904,0.0975725650787353,0.1727237701416015,0.0919923782348632,0.103816270828247,elu
500,2,1,0.0106909275054931,0.008268117904663,0.0088467597961425,0.0078635215759277,0.0077071189880371,selu
500,2,3,0.0141694545745849,0.0155770778656005,0.0155651569366455,0.0136833190917968,0.0162796974182128,relu
500,2,10,0.0452845096588134,0.0286226272583007,0.0683178901672363,0.0443990230560302,0.0295698642730712,leaky
500,2,30,0.0883905887603759,0.0780854225158691,0.1301863193511963,0.0799677371978759,0.1392598152160644,leaky
500,5,1,0.0204355716705322,0.0170698165893554,0.024141788482666,0.010648488998413,0.0161273479461669,relu
500,5,3,0.0126051902770996,0.0124783515930175,0.0276930332183837,0.0153949260711669,0.036492109298706,leaky
500,5,10,0.0302991867065429,0.0299148559570312,0.0514516830444335,0.0415983200073242,0.0280089378356933,selu
500,5,30,0.1263720989227295,0.0809061527252197,0.1133265495300293,0.0859909057617187,0.0835640430450439,leaky
